###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.613102  123.414   2.22622   1802.65   
1         0.251276  12.343    0.382662  3088.08   
2         0.182877  12.198    0.269214  2203.88   
3         0.189516  12.503    0.280432  2240      
4         0.950047  47.019    8.44417   17923.2   
5         0.950911  47.323    8.3973    17680.4   

T = 1.35001s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.844725  168.489   4.68346   2774.52   
1         0.335775  16.86     0.545106  3225.43   
2         0.252386  16.751    0.377654  2250.71   
3         0.253706  16.736    0.378568  2258.44   
4         0.859027  42.896    4.49879   10432.2   
5         0.867597  43.078    4.61828   10693.4   
6         0.873598  43.69     4.89814   11172.5   

T = 1.03339s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.958997  191.302   8.0062    4187.3    
1         0.376491  18.924    0.638329  3365.46   
2         0.2841    19.01     0.438452  2303.86   
3         0.29066   19.256    0.44767   2322.34   
4         0.74162   36.876    2.656     7176.85   
5         0.740805  37.1      2.5966    6957.36   
6         0.73896   36.771    2.61296   7086.95   
7         0.742447  37.145    2.60379   6979.44   

T = 0.928276s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.990682  197.223   10.424    5289.53   
1         0.386976  19.409    0.668396  3435.7    
2         0.297632  19.703    0.47095   2379.43   
3         0.294061  19.517    0.459926  2351.78   
4         0.608873  30.569    1.57274   5125.82   
5         0.619603  30.567    1.63909   5338.73   
6         0.612002  30.5      1.6053    5231.79   
7         0.616226  30.621    1.61598   5257.61   
8         0.607017  30.72     1.54365   5009.22   

T = 0.91346s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.99766   199.3     11.6686   5860.82   
1         0.398086  19.927    0.705589  3525.08   
2         0.298992  19.829    0.472193  2376.16   
3         0.296278  19.592    0.46248   2358.77   
4         0.511747  25.63     1.10432   4293.39   
5         0.518316  25.827    1.10292   4256.61   
6         0.519138  25.911    1.12063   4303.76   
7         0.517668  25.841    1.11326   4290.86   
8         0.524036  25.84     1.14041   4400.05   
9         0.517767  25.617    1.10962   4315.1    

T = 0.902201s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.999391  200.074   12.3095   6158.83   
1         0.404652  19.993    0.734193  3660.31   
2         0.300818  20.025    0.481198  2395.07   
3         0.304055  20.096    0.483201  2400.41   
4         0.444972  22.204    0.852249  3832.54   
5         0.444745  22.165    0.859162  3852.59   
6         0.451887  22.554    0.878129  3884.5    
7         0.449356  22.276    0.879778  3934.59   
8         0.443669  22.044    0.862798  3906.25   
9         0.444201  22.084    0.828591  3748.52   
10        0.443117  22.155    0.831166  3748.4    

T = 0.907322s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         1.00012   199.948   12.8565   6435.46   
1         0.397427  19.887    0.707554  3548.61   
2         0.298334  19.914    0.477277  2391.47   
3         0.301917  19.856    0.478125  2403.8    
4         0.390443  19.438    0.677141  3472.9    
5         0.38188   19.274    0.673391  3475.4    
6         0.393362  19.446    0.695685  3571.73   
7         0.395416  19.62     0.700797  3561.92   
8         0.3901    19.495    0.685239  3509.04   
9         0.389116  19.535    0.679426  3465.82   
10        0.386912  19.368    0.669987  3450.81   
11        0.393149  19.627    0.69884   3558.28   

T = 0.910122s

###############################################
