###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.565796  113.159   1.22684   10.8417   
1         0.226319  11.3159   0.290568  25.6778   
2         0.169739  11.3159   0.203567  17.9894   
3         0.169739  11.3159   0.203567  17.9894   
4         0.882642  44.1321   4.03773   91.4919   
5         0.882642  44.1321   4.03773   91.4919   

T = 0.88371s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.7264    145.28    2.09267   14.4044   
1         0.29056   14.528    0.402364  27.6958   
2         0.21792   14.528    0.275637  18.9728   
3         0.21792   14.528    0.275637  18.9728   
4         0.755456  37.7728   2.3179    61.3642   
5         0.755456  37.7728   2.3179    61.3642   
6         0.755456  37.7728   2.3179    61.3642   

T = 0.688326s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.818791  163.758   2.81808   17.2088   
1         0.327516  16.3758   0.47466   28.9854   
2         0.245637  16.3758   0.320692  19.5833   
3         0.245637  16.3758   0.320692  19.5833   
4         0.638657  31.9328   1.51647   47.4894   
5         0.638657  31.9328   1.51647   47.4894   
6         0.638657  31.9328   1.51647   47.4894   
7         0.638657  31.9328   1.51647   47.4894   

T = 0.610657s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.870895  174.179   3.35001   19.2331   
1         0.348358  17.4179   0.518946  29.7938   
2         0.261268  17.4179   0.347631  19.9583   
3         0.261268  17.4179   0.347631  19.9583   
4         0.543438  27.1719   1.08716   40.0103   
5         0.543438  27.1719   1.08716   40.0103   
6         0.543438  27.1719   1.08716   40.0103   
7         0.543438  27.1719   1.08716   40.0103   
8         0.543438  27.1719   1.08716   40.0103   

T = 0.574122s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.901579  180.316   3.73034   20.6878   
1         0.360632  18.0316   0.54669   30.3184   
2         0.270474  18.0316   0.364201  20.198    
3         0.270474  18.0316   0.364201  20.198    
4         0.468821  23.4411   0.832428  35.5115   
5         0.468821  23.4411   0.832428  35.5115   
6         0.468821  23.4411   0.832428  35.5115   
7         0.468821  23.4411   0.832428  35.5115   
8         0.468821  23.4411   0.832428  35.5115   
9         0.468821  23.4411   0.832428  35.5115   

T = 0.554582s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.920769  184.154   4.00655   21.7565   
1         0.368308  18.4154   0.564896  30.6753   
2         0.276231  18.4154   0.37492   20.3591   
3         0.276231  18.4154   0.37492   20.3591   
4         0.4104    20.52     0.668388  32.5725   
5         0.4104    20.52     0.668388  32.5725   
6         0.4104    20.52     0.668388  32.5725   
7         0.4104    20.52     0.668388  32.5725   
8         0.4104    20.52     0.668388  32.5725   
9         0.4104    20.52     0.668388  32.5725   
10        0.4104    20.52     0.668388  32.5725   

T = 0.543024s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.93348   186.696   4.2126    22.564    
1         0.373392  18.6696   0.577432  30.929    
2         0.280044  18.6696   0.382216  20.4726   
3         0.280044  18.6696   0.382216  20.4726   
4         0.364057  18.2029   0.555691  30.5277   
5         0.364057  18.2029   0.555691  30.5277   
6         0.364057  18.2029   0.555691  30.5277   
7         0.364057  18.2029   0.555691  30.5277   
8         0.364057  18.2029   0.555691  30.5277   
9         0.364057  18.2029   0.555691  30.5277   
10        0.364057  18.2029   0.555691  30.5277   
11        0.364057  18.2029   0.555691  30.5277   

T = 0.53563s

###############################################
